 NF , LCD , NucleusArea , CellArea , percentProtrusion , protrusion_extent ,NucIntegratedH,logNucbyRing488 (Yap)
0.940299,59.952,432,2153,3.71575,0.0710383,118649.664,-0.175112
1,97.4659,418,1118,0,0,118946.498,-0.145553
1,46.49,456,2226,0,0.0653266,109914.24,-0.0760583
1,61.2745,459,1853,4.10146,0.0745342,113698.89,-0.150846
1,56.3063,515,726,0,0,156136.155,-0.0417573
1,44.5236,639,2682,1.90157,0.0909091,75818.628,-0.117561
0.958763,41.9463,599,2719,1.50791,0.0899471,167620.566,0.110735
1,64.8929,578,1351,0,0,173884.942,-0.0709284
1,48.4731,489,1349,0,0,109369.251,-0.0673723
1,58.309,476,2432,0,0,120286.152,-0.0375791
0.949153,43.956,508,1799,0,0,175866.552,-0.0210845
1,44.2282,519,2147,0,0,159259.821,-0.150981
0.916667,62.5782,444,1186,3.54132,0.0955882,99949.284,-0.0362133
1,40.1445,901,2824,0,0,167871.617,-0.0604735
1,56.2114,490,2050,0,0,80742.69,0.0582344
1,60.9385,773,2622,2.44088,0.034749,269281.507,-0.0901418
0.905138,57.8704,530,3437,9.77597,0.203463,182767.85,-0.185397
1,59.0319,476,2118,0,0,92264.032,-0.138987
1,70.373,460,1634,0,0,132147.88,0.00840945
1,51.7866,569,2031,4.77597,0.213636,175018.71,-0.214712
1,64.5161,458,715,0,0,129573.238,-4.16E-02
1,57.4713,526,925,0,0,80426.978,-0.00588996
1,62.5782,496,2548,3.21821,0.100962,166463.552,-0.106488
1,51.4403,527,2230,0,0,73963.396,-0.139285
1,60.241,556,1634,3.79437,0.182292,157597.644,-0.163109
1,115.207,160,572,0,0,52396.48,0.0250826
0.974359,56.0538,438,1449,0,0.0331126,98901.714,0.0208498
1,70.7214,256,1073,0,0.0884956,73702.912,0.200752
0.946524,52.0291,403,2289,2.31542,0.0568182,45657.079,-0.0883912
0.605,29.9043,344,2076,0,0.170854,32186.2224,0.111808
0.93578,77.821,308,952,0,0,94822.728,0.0336716
0.950617,60.35,362,1630,0,0.0123457,93790.218,-0.039337
0.719298,24.0964,350,2657,6.28528,0.0970874,25056.22,0.0819168
1,88.7311,359,1491,0,0,93336.41,-0.125632
0.938144,35.9195,468,2276,0,0.00515464,94094.208,0.0291311
0.778325,26.3296,599,2090,0,0.218447,54654.1377,0.0766262
0.299213,8.80669,558,3941,16.1127,0.325991,155949.282,-0.009467
0.901288,39.7141,525,3024,9.65608,0.2,71437.8,-0.00425142
1,53.2198,477,815,0,0,59374.098,-0.0913341
